osmid,lat,lon
13059159454,37.5607555,127.0709382
13059159455,37.5607598,127.0710347
13059159456,37.560662,127.0710804
13059159457,37.5605196,127.0714425
13059159458,37.5604048,127.0717376
13059159459,37.5606131,127.0718717
13059159460,37.5608193,127.0719951
13059159461,37.5608278,127.0719549
13059159462,37.5607024,127.0718771
13059159463,37.5606747,127.071802
13059159464,37.5609048,127.0718382
13059159465,37.6068243,127.0712051
13059159466,37.6060085,127.0712749
13059159467,37.6056134,127.0713339
13059159468,37.6052862,127.0713661
13059159469,37.6047169,127.0714949
13059159470,37.6042069,127.0715806
13059159471,37.6039987,127.0715859
13059159472,37.6033486,127.0717254
13059159473,37.6027537,127.0718435
13059159474,37.6023076,127.0719239
13059159475,37.6017425,127.0719186
13059159476,37.6012156,127.0718059
13059159477,37.6007524,127.0715859
13059159478,37.6004243,127.0713714
13059159479,37.6001141,127.071189
13059159480,37.5997869,127.070969
13059159481,37.5994172,127.0706471
13059159482,37.59926,127.070454
13059159483,37.599192,127.0703252
13059159484,37.5988606,127.0700784
13059159485,37.5982402,127.0696063
13059159486,37.5978068,127.0692522
13059159487,37.5974414,127.0689947
13059159488,37.5971907,127.0688605
13059159489,37.5969144,127.0687693
13059159490,37.5966127,127.0687264
13059159491,37.5964598,127.0686942
13059159492,37.5961708,127.0686513
13059159493,37.5956779,127.0687854
13059159494,37.5952232,127.0689464
13059159495,37.5948011,127.0691022
13059159496,37.5943847,127.0692685
13059159497,37.593981,127.0694187
13059159498,37.5936623,127.0695153
13059159499,37.5935985,127.0694616
13059159500,37.5932543,127.0695528
13059159501,37.5932671,127.0696548
13059159502,37.5929951,127.0697352
13059159503,37.5927231,127.0697889
13059159504,37.5924979,127.069864
13059159505,37.5921919,127.0698586
13059159506,37.5918137,127.0699928
13059159507,37.591818,127.0700518
13059159508,37.591359,127.0700893
13059159509,37.5910361,127.070084
13059159510,37.5908141,127.0701591
13059159511,37.5904189,127.0702127
13059159512,37.5900066,127.0702556
13059159513,37.5895477,127.07032
13059159514,37.5893989,127.0703415
13059159515,37.5892799,127.0704756
13059159516,37.5892668,127.0705346
13059159517,37.5889184,127.0705829
13059159518,37.5885444,127.0706527
