수목명,수목위도,수목경도
모과나무,37.57762527,127.071701
매실나무,37.57765961,127.0717087
양버즘나무,37.57765579,127.0716553
단풍나무,37.57769775,127.0717087
단풍나무,37.57772446,127.071701
목련,37.57776642,127.0717163
모과나무,37.57779312,127.0717087
잣나무,37.57782745,127.0717163
단풍나무,37.57798767,127.0719986
오동나무,37.5779953,127.0719681
이팝나무,37.57782745,127.0713272
단풍나무,37.57780838,127.0713806
단풍나무,37.57780075,127.0714035
단풍나무,37.57783508,127.071434
단풍나무,37.57786179,127.0714035
단풍나무,37.57789612,127.0714264
이팝나무,37.57791138,127.0714493
계수나무,37.57795715,127.0714264
이팝나무,37.57797623,127.0713882
단풍나무,37.57798386,127.071434
단풍나무,37.57797241,127.0714645
목련,37.57795715,127.0713882
단풍나무,37.57787704,127.0713806
버드나무,37.57793045,127.0713959
모과나무,37.57760239,127.0709229
단풍나무,37.57739639,127.0713654
산딸나무,37.57760239,127.0709152
단풍나무,37.57760239,127.0709152
단풍나무,37.57755727,127.0712999
은행나무,37.57759857,127.0717773
잣나무,37.57771301,127.0714798
잣나무,37.5775297,127.0712669
소나무,37.57759476,127.0719452
피나무,37.57741928,127.0713577
잣나무,37.57773209,127.0714874
사과나무,37.57752133,127.0713013
단풍나무,37.5776329,127.0709305
이팝나무,37.57812528,127.071412
잣나무,37.57742691,127.0713654
이팝나무,37.57764435,127.0708923
잣나무,37.57785416,127.0716858
이팝나무,37.57811747,127.0714022
단풍나무,37.57775879,127.0714951
산수유,37.5776329,127.0719452
잣나무,37.57743835,127.0713654
이팝나무,37.57810156,127.071407
사과나무,37.57751234,127.0712902
잣나무,37.57786942,127.0717239
단풍나무,37.57778168,127.0714722
소나무,37.57762909,127.0719299
은행나무,37.57813793,127.0712456
잣나무,37.57747269,127.071373
잣나무,37.57789993,127.0716858
소나무,37.57765961,127.0709152
소나무,37.57756424,127.0719299
뽕나무,37.57767105,127.0708923
단풍나무,37.57783127,127.0714645
사과나무,37.57748756,127.0712826
잣나무,37.57749939,127.0713654
잣나무,37.57792664,127.0717316
잣나무,37.57814694,127.0712547
소나무,37.57758713,127.0719299
단풍나무,37.57752228,127.071373
은행나무,37.57812235,127.0713523
소나무,37.57756805,127.0718842
향나무,37.5775032,127.0713882
소나무,37.5776062,127.0718918
이팝나무,37.57771683,127.0709
사과나무,37.57744784,127.0713012
향나무,37.57812235,127.0713523
소나무,37.57758713,127.0718536
이팝나무,37.57786179,127.0714951
모과나무,37.57794571,127.071701
산딸나무,37.57811785,127.0713468
단풍나무,37.57771683,127.0709534
사과나무,37.57743462,127.0712526
잣나무,37.5776329,127.0718231
소나무,37.5774765,127.0713959
이팝나무,37.57786179,127.0715256
이팝나무,37.57813699,127.0713496
소나무,37.57764435,127.0717697
소나무,37.57798004,127.0716782
은행나무,37.57806504,127.0713317
단풍나무,37.57775497,127.070961
소나무,37.57744217,127.0713959
이팝나무,37.57784271,127.0715256
감나무,37.57806504,127.0713317
은행나무,37.57777786,127.0709152
이팝나무,37.57732979,127.0713059
소나무,37.57742691,127.0714111
이팝나무,37.57784271,127.0715027
향나무,37.57765198,127.0718536
가죽나무,37.57776642,127.0709457
소나무,37.57738876,127.0714035
느티나무,37.57767868,127.0718079
이팝나무,37.57803462,127.0713372
잣나무,37.57797241,127.0715332
감나무,37.5780654,127.0713438
벚나무,37.57770538,127.0717621
소나무,37.57740784,127.071434
잣나무,37.57799912,127.0715408
사과나무,37.57749612,127.0712374
은행나무,37.57805663,127.0712419
산수유,37.57770157,127.071785
소나무,37.57743835,127.0714264
이팝나무,37.57781982,127.0709229
잣나무,37.57800674,127.0715485
향나무,37.57798521,127.0712714
느티나무,37.57761002,127.0712967
소나무,37.57743454,127.0714111
양버즘나무,37.57769394,127.0719528
벚나무,37.57799008,127.0712214
산수유,37.57799912,127.0715561
단풍나무,37.57778931,127.0709686
소나무,37.5774765,127.0714188
소나무,37.57772446,127.0718842
단풍나무,37.57803782,127.071172
잣나무,37.57731316,127.0712721
벚나무,37.57801307,127.0711235
느티나무,37.57765198,127.0711823
소나무,37.57748032,127.071434
단풍나무,37.57782745,127.070961
잣나무,37.57801437,127.0715714
목련,37.57736201,127.0712107
감나무,37.57763672,127.0716553
소나무,37.57752609,127.0715027
계수나무,37.57795288,127.071113
감나무,37.57764435,127.0716324
목련,37.57765198,127.0716095
벚나무,37.57795402,127.071093
잣나무,37.57800674,127.071579
감나무,37.57767868,127.0716095
소나무,37.57748413,127.0714951
산딸나무,37.57795516,127.0710672
향나무,37.57734057,127.0711642
목련,37.57765579,127.071579
벚나무,37.57792353,127.0710743
산수유,37.5779953,127.0715866
소나무,37.57744598,127.0714951
이팝나무,37.5778656,127.0709305
벚나무,37.57774353,127.0711365
물푸레나무,37.57795474,127.0710454
잣나무,37.57731292,127.0712228
느티나무,37.57787323,127.0710068
소나무,37.57740784,127.0715103
잣나무,37.57801819,127.0716019
단풍나무,37.57797476,127.0710449
계수나무,37.57799238,127.07107
잣나무,37.57769012,127.0715561
피나무,37.57778549,127.0711594
단풍나무,37.57781601,127.0710144
잣나무,37.57800293,127.0716095
산딸나무,37.57778549,127.071022
단풍나무,37.57798197,127.0710488
소나무,37.57769394,127.0715332
단풍나무,37.57798255,127.0711229
소나무,37.57772446,127.0715408
모감주나무,37.57740021,127.0715103
피나무,37.57782745,127.0711899
잣나무,37.578022,127.0716171
