u,v,key,length,highway,name,coordinates,가로수
287288045,1943131901,0,38.805000495535865,primary,안암로,"[[127.0295291, 37.5826576], [127.0291956, 37.5824297]]",True
287288045,1943131877,0,39.84070833700067,secondary,무학로,"[[127.0295291, 37.5826576], [127.0295989, 37.5823036]]",True
287288045,3964387739,0,24.542440840396335,primary,안암로,"[[127.0295291, 37.5826576], [127.029697, 37.5828337]]",False
287710021,7068765358,0,4.9689202224865126,residential,왕산로40길,"[[127.0452204, 37.5799503], [127.0451974, 37.5799911]]",True
287710021,10017702402,0,65.03296420151963,service,,"[[127.0452204, 37.5799503], [127.0453565, 37.5799755], [127.0454201, 37.5799939], [127.0455105, 37.5800308], [127.0456038, 37.5800835], [127.0456887, 37.5801368], [127.0457812, 37.5801958], [127.0458456, 37.5802424]]",True
287710021,10017702432,0,20.392964547560624,residential,왕산로40길,"[[127.0452204, 37.5799503], [127.0452382, 37.579851], [127.0452536, 37.5797688]]",True
287710035,7749822746,0,30.17050296272469,primary,왕산로,"[[127.0450075, 37.5801195], [127.0447424, 37.5799478]]",True
287710035,1939144051,0,15.095443661036484,primary,왕산로,"[[127.0450075, 37.5801195], [127.0448362, 37.580119]]",True
287710035,11170069502,0,13.563358799055228,residential,왕산로40길,"[[127.0450075, 37.5801195], [127.0451252, 37.5800409]]",True
287710035,12234274185,0,28.64919055526911,busway,,"[[127.0450075, 37.5801195], [127.0447002, 37.5800354]]",True
287710035,1939144058,0,81.79644449842289,primary,왕산로,"[[127.0450075, 37.5801195], [127.045172, 37.5802828], [127.0453774, 37.5803983], [127.0456908, 37.5806111]]",False
287710035,1939144055,0,32.740915351527015,secondary,홍릉로,"[[127.0450075, 37.5801195], [127.0450019, 37.5802367], [127.044996, 37.5804138]]",True
287710035,12394189783,0,141.85216558543686,primary,왕산로,"[[127.0450075, 37.5801195], [127.045256, 37.5801727], [127.0453107, 37.5801993], [127.0453828, 37.5802385], [127.0454562, 37.5802811], [127.0455156, 37.580318], [127.0455886, 37.5803645], [127.04565, 37.5804089], [127.0458267, 37.580533], [127.045945, 37.5806175], [127.0460285, 37.5806879], [127.0461311, 37.580791], [127.0462377, 37.5809005]]",True
